id,Season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,win_by_runs_capped,win_by_wickets_capped,toss_match_win,win_margin_cat,match_year,match_month,is_big_win,win_by_runs_norm,win_by_wickets_norm,win_by_runs_std,win_by_wickets_std
509,IPL-2014,Chandigarh,,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Kings XI Punjab,16,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,PG Pathak,16.0,0,0,Small,,,0,0.1095890410958904,0.0,0.11261783218954659,-0.9948286507525228
510,IPL-2014,Bangalore,,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,8,MS Dhoni,M Chinnaswamy Stadium,AK Chaudhary,NJ Llong,0.0,8,1,Large,,,0,0.0,0.8,-0.5682956134911693,1.3679384881843808
511,IPL-2014,Kolkata,,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,4,YK Pathan,Eden Gardens,RM Deshpande,BNJ Oxenford,0.0,4,1,Medium,,,0,0.0,0.4,-0.5682956134911693,0.18655491871592902
512,IPL-2014,Chandigarh,,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,7,M Vohra,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,VA Kulkarni,0.0,7,1,Large,,,0,0.0,0.7000000000000001,-0.5682956134911693,1.072592595817268
513,IPL-2014,Mumbai,,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,5,CJ Anderson,Wankhede Stadium,K Srinath,RJ Tucker,0.0,5,1,Medium,,,0,0.0,0.5,-0.5682956134911693,0.481900811083042
514,IPL-2014,Kolkata,,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kolkata Knight Riders,28,0,UT Yadav,Eden Gardens,NJ Llong,S Ravi,28.0,0,0,Medium,,,0,0.1917808219178082,0.0,0.6233029164500835,-0.9948286507525228
515,IPL-2014,Mumbai,,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,7,SK Raina,Brabourne Stadium,VA Kulkarni,BNJ Oxenford,0.0,7,1,Large,,,0,0.0,0.7000000000000001,-0.5682956134911693,1.072592595817268
516,IPL-2014,Mumbai,,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,0,Kings XI Punjab,24,0,V Sehwag,Wankhede Stadium,HDPK Dharmasena,RJ Tucker,24.0,0,0,Medium,,,0,0.1643835616438356,0.0,0.4530745550299045,-0.9948286507525228
517,IPL-2014,Bangalore,2014-01-06,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,3,MK Pandey,M Chinnaswamy Stadium,HDPK Dharmasena,BNJ Oxenford,0.0,3,1,Small,2014.0,1.0,0,0.0,0.30000000000000004,-0.5682956134911693,-0.10879097365118393
518,IPL-2015,Kolkata,2015-08-04,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,M Morkel,Eden Gardens,S Ravi,C Shamshuddin,0.0,7,1,Large,2015.0,8.0,0,0.0,0.7000000000000001,-0.5682956134911693,1.072592595817268
